price,country_Australia,points,country_Austria,country_Portugal,country_US,taster_name_Alexander Peartree,taster_name_Matt Kettmann,taster_name_Michael Schachner,taster_name_Paul Gregutt
12.0,0,87,0,0,0,0,0,0,0
12.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
60.0,0,87,0,0,1,0,0,0,0
45.0,0,87,0,0,1,0,0,0,0
45.0,0,87,0,0,1,0,0,0,0
9.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
50.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
19.0,0,87,0,0,0,0,0,1,0
15.0,0,87,0,0,0,0,0,1,0
12.0,0,87,0,0,0,0,0,1,0
40.0,0,87,0,0,0,0,0,1,0
20.0,0,87,0,0,0,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,1,0
75.0,0,87,0,0,1,0,0,0,0
40.0,0,87,0,0,1,0,0,0,0
49.0,0,87,0,0,1,0,0,0,0
50.0,0,94,0,0,0,0,0,0,0
312.0,0,94,0,0,0,0,0,0,0
54.0,0,94,0,0,1,0,0,0,0
50.0,0,94,0,0,1,0,1,0,0
54.0,0,94,0,0,0,0,0,0,0
90.0,0,94,0,0,1,0,0,0,0
40.0,0,94,0,0,1,0,0,0,0
79.0,0,94,0,0,0,0,0,0,0
98.0,0,94,0,0,1,0,0,0,0
70.0,0,94,0,0,1,0,0,0,0
35.0,0,94,0,0,1,0,1,0,0
40.0,0,94,0,0,1,0,0,0,0
55.0,0,94,0,0,0,0,0,0,0
55.0,0,94,1,0,0,0,0,0,0
60.0,0,94,0,0,0,0,0,0,0
39.0,0,94,0,0,1,0,0,0,0
29.0,0,94,1,0,0,0,0,0,0
40.0,0,94,0,0,0,0,0,0,0
49.0,0,94,0,0,1,0,1,0,0
28.0,0,94,0,0,0,0,0,0,0
42.0,0,94,0,0,1,0,0,0,0
55.0,0,94,0,0,1,0,0,0,0
20.0,0,93,0,0,1,0,0,0,0
65.0,0,93,0,0,1,0,0,0,0
60.0,0,93,0,0,1,0,0,0,0
74.0,0,93,0,0,1,0,1,0,0
49.0,0,93,0,0,0,0,0,0,0
26.0,0,93,0,0,1,0,0,0,0
89.0,0,93,0,0,0,0,0,0,0
22.0,0,89,0,0,0,0,0,0,0
25.0,0,89,0,0,0,0,0,0,0
23.0,0,89,0,0,1,0,1,0,0
19.0,0,89,0,0,0,0,0,0,0
45.0,0,89,0,0,0,0,0,0,0
23.0,0,89,0,1,0,0,0,0,0
13.0,0,89,0,0,0,0,0,0,0
27.0,0,89,0,0,0,0,0,0,0
19.0,0,89,0,0,1,0,1,0,0
55.0,0,89,0,0,1,0,0,0,1
34.0,0,89,0,0,0,0,0,0,0
70.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,1,1,0,0,0
48.0,0,89,0,0,0,0,0,0,0
22.0,0,89,0,0,0,0,0,0,0
30.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,0,0,0,0,0
60.0,0,89,0,0,0,0,0,0,0
40.0,0,89,0,0,0,0,0,0,0
42.0,0,89,0,0,1,0,0,0,1
26.0,0,89,0,0,1,0,0,0,1
55.0,0,89,0,0,0,0,0,0,0
40.0,0,89,0,0,1,0,0,0,1
16.0,0,89,0,1,0,0,0,0,0
60.0,0,89,0,0,0,0,0,0,0
24.0,0,89,0,0,0,0,0,0,0
28.0,0,89,0,0,1,0,0,0,1
30.0,0,89,0,0,1,0,0,0,0
18.0,0,89,0,0,0,0,0,0,0
80.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,1,0,0,0,0
19.0,0,89,0,0,0,0,0,1,0
60.0,0,89,0,0,0,0,0,1,0
15.0,0,89,0,0,1,0,0,0,0
33.0,0,89,0,0,0,0,0,1,0
44.0,0,89,0,0,1,0,0,0,0
34.0,0,89,0,0,1,0,0,0,0
29.0,0,89,0,0,1,0,0,0,1
30.0,0,89,0,0,1,0,0,0,1
30.0,0,89,0,0,1,0,0,0,0
52.0,0,89,0,0,1,0,0,0,1
36.0,0,89,0,0,0,0,0,1,0
29.0,0,89,0,0,0,0,0,1,0
25.0,0,89,0,0,1,0,0,0,0
20.0,0,89,0,0,0,0,0,1,0
50.0,0,89,0,0,1,0,0,0,1
50.0,0,89,0,0,1,0,0,0,1
23.0,0,89,0,0,0,0,0,1,0
25.0,0,89,1,0,0,0,0,0,0
30.0,0,89,1,0,0,0,0,0,0
30.0,0,89,0,0,0,0,0,0,0
52.0,0,89,0,0,0,0,0,0,0
29.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,0,0,0,0,0
55.0,0,95,0,0,1,0,1,0,0
38.0,0,95,0,0,0,0,0,0,0
61.0,0,95,0,0,0,0,0,0,0
38.0,0,95,0,0,1,0,1,0,0
235.0,0,95,0,0,0,0,0,0,0
45.0,0,95,0,1,0,0,0,0,0
35.0,0,95,0,0,1,0,0,0,0
44.0,0,95,0,0,1,0,0,0,0
45.0,0,95,0,0,1,0,0,0,0
48.0,0,95,0,0,0,0,0,0,0
60.0,0,95,0,1,0,0,0,0,0
45.0,0,95,0,1,0,0,0,0,0
55.0,0,95,0,0,1,0,0,0,0
52.0,0,95,0,0,0,0,0,0,0
125.0,0,95,0,0,1,0,0,0,0
44.0,0,95,0,0,1,0,1,0,0
44.0,0,95,0,0,1,0,1,0,0
80.0,0,95,0,0,0,0,0,0,0
65.0,0,95,0,0,1,0,0,0,0
135.0,0,95,0,0,0,0,0,0,0
50.0,0,95,0,0,1,0,0,0,0
70.0,0,95,0,0,0,0,0,1,0
48.0,0,95,0,0,1,0,1,0,0
69.0,0,94,0,0,1,0,0,0,0
32.0,0,94,0,0,1,0,0,0,0
19.0,0,87,0,0,1,0,0,0,1
19.0,0,87,0,0,1,0,0,0,1
25.0,0,87,0,0,0,0,0,0,0
60.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,1,0,0,0,1
15.0,0,87,0,0,1,0,0,0,0
40.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
28.0,0,87,0,0,0,0,0,0,0
16.0,0,87,0,0,0,0,0,0,0
27.0,0,87,0,0,0,0,0,0,0
52.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
59.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
10.0,0,84,0,0,1,0,0,0,0
13.0,0,84,0,0,1,0,0,0,0
13.0,0,84,0,0,0,0,0,0,0
16.0,0,84,0,0,1,0,0,0,0
15.0,0,84,0,0,1,0,0,0,1
8.0,0,84,0,0,0,0,0,1,0
13.0,0,84,0,1,0,0,0,0,0
30.0,0,84,0,0,1,0,0,0,0
13.0,0,84,0,0,1,0,0,0,0
12.0,0,84,0,0,0,0,0,1,0
16.0,0,84,0,0,0,0,0,0,0
12.0,0,84,0,0,0,0,0,1,0
19.0,0,84,0,0,0,0,0,0,0
25.0,0,84,0,0,1,0,0,0,0
30.0,0,84,0,0,1,0,0,0,0
38.0,0,84,0,0,1,0,0,0,0
12.0,0,84,0,0,0,0,0,0,0
20.0,0,84,0,0,0,0,0,0,0
12.0,0,84,0,0,0,0,0,1,0
12.0,0,84,0,0,1,0,0,0,0
11.0,0,84,0,0,0,0,0,1,0
24.0,0,84,0,0,1,0,0,0,0
8.0,0,84,0,1,0,0,0,0,0
13.0,0,84,0,0,0,0,0,1,0
60.0,0,91,0,0,1,0,0,0,0
55.0,0,91,0,0,1,0,0,0,0
64.0,0,91,0,0,1,0,1,0,0
120.0,0,91,0,0,0,0,0,1,0
13.0,0,91,1,0,0,0,0,0,0
60.0,0,91,0,0,1,0,0,0,0
100.0,0,91,0,0,1,0,0,0,0
54.0,0,91,0,0,0,0,0,0,0
50.0,0,91,0,0,1,0,0,0,0
25.0,0,91,1,0,0,0,0,0,0
50.0,0,91,0,0,1,0,0,0,0
50.0,0,91,0,0,1,0,0,0,0
20.0,0,91,1,0,0,0,0,0,0
50.0,0,91,0,0,1,0,0,0,0
48.0,0,91,0,0,1,0,1,0,0
18.0,0,91,0,0,0,0,0,0,0
66.0,0,91,0,0,1,0,0,0,0
29.0,0,91,1,0,0,0,0,0,0
65.0,0,91,0,0,1,0,0,0,0
60.0,0,91,0,0,1,0,1,0,0
20.0,0,91,1,0,0,0,0,0,0
45.0,0,91,0,0,1,0,1,0,0
40.0,0,91,0,0,1,0,1,0,0
26.0,0,91,1,0,0,0,0,0,0
40.0,0,91,0,0,0,0,0,0,0
30.0,0,91,0,0,0,0,0,0,0
24.0,0,91,0,0,1,0,1,0,0
27.0,0,91,1,0,0,0,0,0,0
75.0,0,91,0,0,1,0,0,0,0
15.0,0,86,0,0,1,0,0,0,1
30.0,0,86,0,0,1,0,0,0,0
30.0,0,86,0,0,0,0,0,0,0
20.0,0,86,1,0,0,0,0,0,0
30.0,0,86,0,0,1,0,0,0,0
28.0,0,86,0,0,0,0,0,0,0
30.0,0,86,0,0,1,0,0,0,1
15.0,0,86,0,0,0,0,0,1,0
15.0,0,86,0,0,0,0,0,0,0
25.0,0,86,0,0,1,0,0,0,0
42.0,0,86,0,0,1,0,0,0,0
15.0,0,86,0,0,1,0,0,0,0
11.0,0,86,0,0,0,0,0,1,0
17.0,0,86,0,0,0,0,0,1,0
11.0,0,86,0,0,1,0,1,0,0
30.0,0,86,0,0,0,0,0,1,0
40.0,0,86,0,0,1,0,0,0,0
32.0,0,86,0,0,1,0,0,0,0
19.0,0,86,0,0,1,0,0,0,0
22.0,0,86,0,0,0,0,0,0,0
24.0,0,86,0,0,0,0,0,0,0
16.0,0,86,0,0,0,0,0,0,0
11.0,0,86,0,0,0,0,0,1,0
40.0,0,86,0,0,1,0,0,0,1
14.0,0,86,0,0,0,0,0,0,0
9.0,0,86,0,0,1,0,0,0,0
13.0,0,86,0,0,0,0,0,0,0
50.0,0,86,0,0,0,0,0,0,0
22.0,0,86,0,0,1,0,0,0,0
18.0,0,86,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
36.0,0,87,0,0,1,0,0,0,0
40.0,0,87,0,0,1,0,0,0,0
40.0,0,87,0,0,1,0,0,0,0
17.0,0,87,0,0,1,0,1,0,0
28.0,0,87,0,0,0,0,0,0,0
11.0,0,87,0,0,0,0,0,0,0
23.0,0,87,0,0,0,0,0,0,0
36.0,0,87,0,0,1,0,0,0,0
23.0,0,87,0,0,1,0,0,0,0
13.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,0,0,0,1,0
20.0,0,87,0,0,1,0,1,0,0
27.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,1,0,0,0,0
22.0,0,87,0,0,1,0,0,0,0
11.0,0,87,0,0,0,0,0,1,0
14.0,0,87,0,0,1,0,0,0,0
79.0,0,87,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,1,0
17.0,0,87,0,0,1,0,0,0,0
12.0,0,87,0,0,0,0,0,1,0
26.0,0,86,0,0,1,0,0,0,0
15.0,0,86,0,0,1,0,0,0,0
19.0,0,86,0,0,1,0,0,0,0
55.0,0,86,0,0,0,0,0,0,0
55.0,0,90,0,0,1,0,0,0,0
16.0,0,90,0,0,0,0,0,0,0
34.0,0,90,0,0,0,0,0,0,0
35.0,0,90,0,0,1,0,0,0,0
75.0,0,90,0,0,0,0,0,0,0
28.0,0,90,0,0,1,0,0,0,1
25.0,0,90,0,0,1,0,0,0,1
25.0,0,90,0,0,1,0,0,0,1
21.0,0,90,0,0,1,0,0,0,0
40.0,0,90,0,0,1,0,0,0,0
25.0,0,90,0,0,0,0,0,1,0
32.0,0,89,0,0,1,0,0,0,1
18.0,0,89,0,0,1,0,0,0,0
30.0,0,89,0,0,1,0,0,0,1
25.0,0,89,0,0,1,0,0,0,0
30.0,0,89,0,0,1,0,0,0,0
30.0,0,89,0,0,0,0,0,1,0
19.0,0,89,0,0,0,0,0,0,0
22.0,0,89,0,0,0,0,0,0,0
42.0,0,89,0,0,1,0,0,0,0
45.0,0,89,0,0,0,0,0,0,0
50.0,0,89,0,0,1,0,0,0,0
38.0,0,89,0,0,1,0,0,0,1
27.0,0,89,0,0,1,0,0,0,1
33.0,0,89,0,0,0,0,0,0,0
12.0,0,89,0,0,1,0,1,0,0
31.0,0,89,0,0,1,0,0,0,0
42.0,0,89,0,0,1,0,1,0,0
10.0,0,89,0,0,1,0,0,0,0
50.0,0,89,0,0,0,0,0,1,0
18.0,0,89,0,0,1,0,0,0,1
21.0,0,89,0,0,0,0,0,1,0
39.0,0,89,0,0,1,0,1,0,0
30.0,0,89,0,0,1,0,1,0,0
61.0,0,89,0,0,0,0,0,1,0
18.0,0,89,0,1,0,0,0,0,0
7.0,0,89,0,1,0,0,0,0,0
17.0,0,89,0,0,0,0,0,0,0
65.0,0,89,0,0,0,0,0,0,0
25.0,0,89,0,0,1,0,0,0,1
30.0,0,89,0,0,1,0,0,0,0
60.0,0,89,0,1,0,0,0,0,0
30.0,0,89,0,0,1,0,0,0,1
45.0,0,89,0,0,0,0,0,0,0
25.0,0,89,0,0,1,0,0,0,1
65.0,0,89,0,0,1,0,0,0,0
30.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,1,0,0,0,1
44.0,0,89,0,0,1,0,0,0,1
35.0,0,89,0,0,0,0,0,1,0
40.0,0,89,0,0,1,0,0,0,1
40.0,0,89,0,0,1,0,0,0,1
42.0,0,89,0,0,1,0,0,0,0
16.0,0,89,0,0,0,0,0,1,0
48.0,0,89,0,0,1,0,0,0,1
22.0,1,89,0,0,0,0,0,0,0
42.0,0,89,0,0,1,0,0,0,1
28.0,0,89,0,1,0,0,0,0,0
42.0,0,89,0,0,1,0,0,0,1
33.0,0,89,0,0,1,0,0,0,0
20.0,0,89,0,1,0,0,0,0,0
38.0,0,89,0,0,1,0,0,0,0
20.0,0,89,0,0,1,0,0,0,0
28.0,0,89,0,0,0,0,0,1,0
95.0,0,89,0,0,1,0,0,0,0
42.0,0,89,0,0,0,0,0,0,0
30.0,0,89,0,0,0,0,0,0,0
39.0,0,89,0,0,0,0,0,0,0
69.0,0,89,0,0,0,0,0,1,0
45.0,0,89,0,0,0,0,0,1,0
15.0,0,89,0,0,0,0,0,1,0
17.0,0,90,0,0,1,0,0,0,0
37.0,0,90,0,0,0,0,0,0,0
29.0,0,90,0,0,0,0,0,1,0
20.0,0,90,0,0,1,0,0,0,0
35.0,0,90,0,0,1,0,0,0,1
18.0,0,90,0,0,0,0,0,1,0
15.0,0,90,0,0,0,0,0,1,0
40.0,0,90,0,0,1,0,0,0,1
75.0,0,90,0,0,0,0,0,0,0
60.0,0,90,0,0,0,0,0,0,0
15.0,0,90,0,0,1,0,0,0,1
60.0,0,90,0,0,0,0,0,0,0
18.0,0,90,0,0,1,0,0,0,0
17.0,0,90,0,0,1,0,0,0,0
52.0,0,90,0,0,1,0,0,0,0
54.0,0,90,0,0,0,0,0,0,0
50.0,0,90,0,0,0,0,0,0,0
25.0,0,90,0,0,0,0,0,0,0
29.0,0,90,0,0,1,0,0,0,0
10.0,0,90,0,0,1,0,0,0,1
35.0,0,90,0,0,0,0,0,0,0
35.0,0,90,0,0,0,0,0,0,0
50.0,0,90,0,0,0,0,0,0,0
20.0,0,90,0,0,1,0,0,0,0
17.0,0,90,0,0,0,0,0,1,0
55.0,0,90,0,0,0,0,0,1,0
30.0,0,90,0,0,1,0,0,0,0
28.0,0,90,0,0,1,0,0,0,0
42.0,0,90,0,0,1,0,0,0,0
12.0,0,90,1,0,0,0,0,0,0
55.0,0,90,0,0,0,0,0,0,0
30.0,0,90,0,0,1,0,0,0,0
24.0,0,90,0,0,1,0,0,0,0
32.0,0,90,0,0,0,0,0,1,0
49.0,0,90,0,0,0,0,0,0,0
60.0,0,90,0,0,0,0,0,0,0
20.0,0,90,0,0,0,0,0,0,0
24.0,0,90,0,0,1,0,0,0,0
24.0,0,90,0,0,0,0,0,0,0
20.0,0,90,1,0,0,0,0,0,0
33.0,0,90,1,0,0,0,0,0,0
22.0,0,90,0,0,1,0,0,0,0
27.0,0,90,0,0,1,0,1,0,0
45.0,0,90,0,0,1,0,0,0,0
75.0,0,90,0,0,0,0,0,0,0
18.0,0,90,0,0,1,0,0,0,0
14.0,0,90,0,0,1,0,0,0,0
30.0,0,90,0,0,1,0,0,0,0
24.0,0,90,0,0,1,0,0,0,0
50.0,0,90,0,0,1,0,0,0,0
13.0,0,90,1,0,0,0,0,0,0
25.0,0,87,0,0,1,0,0,0,0
32.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,1,0,0,0,0
14.0,0,87,0,0,0,0,0,0,0
9.0,0,87,0,0,0,0,0,0,0
88.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
48.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
41.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
17.0,0,87,0,0,0,0,0,0,0
16.0,0,87,0,0,0,0,0,0,0
13.0,0,87,0,0,1,0,0,0,1
30.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,0,0,0,0,0
40.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
50.0,0,87,0,0,1,0,0,0,0
14.0,0,87,0,0,1,0,0,0,0
17.0,0,87,0,0,0,0,0,0,0
23.0,0,87,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
16.0,0,84,0,0,0,0,0,1,0
9.0,0,84,0,0,1,0,0,0,0
12.0,0,84,0,0,0,0,0,1,0
13.0,0,84,0,1,0,0,0,0,0
14.0,0,84,0,0,0,0,0,0,0
25.0,0,84,0,0,0,0,0,1,0
19.0,0,84,0,0,1,0,0,0,0
20.0,0,84,0,0,1,0,0,0,1
12.0,0,84,0,0,0,0,0,1,0
10.0,0,84,0,0,1,0,0,0,0
18.0,0,84,0,0,1,0,0,0,0
7.0,1,84,0,0,0,0,0,0,0
9.0,0,84,0,0,0,0,0,0,0
20.0,0,84,0,0,1,0,0,0,0
30.0,0,84,0,0,1,0,0,0,0
14.0,0,84,0,1,0,0,0,0,0
20.0,1,84,0,0,0,0,0,0,0
15.0,1,84,0,0,0,0,0,0,0
9.0,0,84,0,0,1,0,0,0,0
32.0,0,84,0,0,1,0,0,0,0
9.0,0,83,0,0,0,0,0,1,0
10.0,0,85,0,0,0,0,0,0,0
15.0,0,85,0,0,0,0,0,1,0
9.0,0,85,0,0,0,0,0,1,0
13.0,0,85,0,0,0,0,0,0,0
15.0,0,85,0,0,0,0,0,0,0
10.0,0,85,0,0,1,0,0,0,0
30.0,0,85,0,0,1,0,0,0,0
45.0,0,85,0,0,1,0,0,0,0
15.0,0,84,0,0,0,0,0,0,0
17.0,0,84,0,0,0,0,0,0,0
15.0,0,84,0,0,0,0,0,0,0
10.0,0,84,0,0,0,0,0,1,0
13.0,0,84,0,0,0,0,0,0,0
20.0,0,84,0,0,0,0,0,0,0
11.0,0,84,0,0,0,0,0,0,0
20.0,0,84,0,0,0,0,0,1,0
58.0,0,84,0,0,1,0,0,0,0
12.0,0,84,0,0,0,0,0,1,0
9.0,0,84,0,0,0,0,0,0,0
11.0,0,84,0,0,0,0,0,1,0
40.0,0,84,0,0,0,0,0,1,0
10.0,0,84,0,0,0,0,0,1,0
24.0,0,84,0,0,1,0,0,0,0
50.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,1,0,0,0,1
20.0,0,87,0,0,1,0,0,0,1
32.0,0,87,0,0,1,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
19.0,0,87,0,0,0,0,0,0,0
25.0,0,87,0,0,1,0,0,0,0
39.0,0,87,0,0,0,0,0,0,0
11.0,0,87,0,1,0,0,0,0,0
10.0,0,87,0,1,0,0,0,0,0
13.0,0,87,0,0,0,0,0,0,0
10.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,1,0,0,0,0
48.0,0,87,0,0,1,0,0,0,0
23.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,0,0,0,1,0
65.0,0,87,0,0,1,0,0,0,0
18.0,0,87,0,0,1,0,0,0,0
14.0,0,86,0,0,0,0,0,1,0
12.0,0,86,0,0,0,0,0,1,0
15.0,0,86,0,0,0,0,0,0,0
18.0,0,86,0,0,1,0,0,0,0
20.0,0,87,0,0,1,0,0,0,1
21.0,0,87,0,0,0,0,0,0,0
14.0,0,87,0,0,0,0,0,1,0
60.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
13.0,0,87,0,0,0,0,0,0,0
25.0,0,87,0,0,0,0,0,0,0
35.0,0,87,0,1,0,0,0,0,0
10.0,0,87,0,1,0,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
45.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,1,0,0,0
15.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
45.0,0,87,0,0,1,0,0,0,1
13.0,0,87,0,0,0,0,0,0,0
30.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
12.0,0,87,0,1,0,0,0,0,0
23.0,0,87,0,0,0,0,0,0,0
45.0,0,87,0,0,1,0,1,0,0
14.0,0,87,0,0,1,0,0,0,1
19.0,0,87,0,0,0,0,0,0,0
26.0,0,87,0,0,1,0,0,0,0
50.0,0,87,0,0,1,1,0,0,0
19.0,0,87,0,0,0,0,0,0,0
16.0,0,87,0,0,0,0,0,0,0
28.0,0,87,0,0,1,0,0,0,0
51.0,0,90,0,0,1,0,0,0,0
36.0,0,90,0,0,0,0,0,0,0
13.0,0,90,0,0,1,0,0,0,0
20.0,0,90,0,0,1,0,0,0,1
60.0,0,90,0,0,0,0,0,1,0
22.0,0,90,0,0,1,0,0,0,0
22.0,0,90,1,0,0,0,0,0,0
40.0,0,90,1,0,0,0,0,0,0
34.0,0,90,0,0,0,0,0,0,0
34.0,0,90,0,0,0,0,0,0,0
25.0,0,90,0,0,0,0,0,0,0
34.0,0,90,0,0,0,0,0,0,0
16.0,0,89,0,0,1,0,0,0,0
19.0,0,89,0,0,0,0,0,0,0
20.0,0,89,0,0,0,0,0,0,0
20.0,0,89,0,0,0,0,0,0,0
32.0,0,89,0,0,0,0,0,0,0
45.0,0,89,0,0,1,0,0,0,0
14.0,0,89,0,0,0,0,0,0,0
18.0,0,89,0,0,1,0,0,0,0
24.0,0,89,0,0,1,0,0,0,0
25.0,0,89,0,0,1,0,0,0,1
20.0,0,89,0,0,1,0,0,0,0
29.0,0,89,0,0,1,0,0,0,1
20.0,0,89,1,0,0,0,0,0,0
23.0,0,89,1,0,0,0,0,0,0
39.0,0,87,0,0,1,0,1,0,0
18.0,0,87,0,0,1,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
80.0,0,87,0,0,0,0,0,0,0
45.0,0,87,0,0,0,0,0,0,0
23.0,0,87,0,0,0,0,0,0,0
12.0,0,86,0,0,0,0,0,0,0
20.0,0,86,0,0,0,0,0,1,0
35.0,0,86,0,0,0,0,0,0,0
24.0,0,86,0,0,1,0,0,0,0
35.0,0,86,0,0,1,0,0,0,0
15.0,0,86,0,0,0,0,0,1,0
38.0,0,86,0,0,1,0,0,0,0
14.0,0,86,0,0,0,0,0,1,0
23.0,0,86,0,0,0,0,0,1,0
22.0,0,86,0,0,0,0,0,0,0
80.0,0,86,0,0,0,0,0,0,0
24.0,0,86,0,1,0,0,0,0,0
17.0,0,86,0,0,0,0,0,0,0
10.0,0,86,0,0,1,0,1,0,0
42.0,0,86,0,0,1,0,0,0,0
12.0,0,86,0,1,0,0,0,0,0
14.0,0,86,0,0,0,0,0,1,0
21.0,0,86,0,0,0,0,0,0,0
16.0,0,86,0,0,0,0,0,0,0
19.0,0,86,0,1,0,0,0,0,0
60.0,0,86,0,0,0,0,0,0,0
35.0,0,86,0,1,0,0,0,0,0
18.0,0,89,0,0,1,0,0,0,0
18.0,1,89,0,0,0,0,0,0,0
25.0,0,89,0,0,1,0,0,0,0
13.0,0,89,0,0,0,0,0,1,0
25.0,0,89,0,0,1,0,0,0,0
19.0,0,89,0,0,0,0,0,1,0
28.0,0,89,0,0,1,0,0,0,0
18.0,1,89,0,0,0,0,0,0,0
20.0,0,88,0,0,0,0,0,0,0
17.0,0,88,0,0,1,0,0,0,0
22.0,0,88,0,0,1,0,0,1,0
30.0,0,88,1,0,0,0,0,0,0
13.0,1,88,0,0,0,0,0,0,0
22.0,1,88,0,0,0,0,0,0,0
36.0,0,88,0,0,1,0,0,0,0
32.0,0,88,0,0,1,0,0,0,0
18.0,0,88,0,0,0,0,0,0,0
23.0,1,88,0,0,0,0,0,0,0
26.0,0,88,0,0,1,0,0,1,0
13.0,1,88,0,0,0,0,0,0,0
17.0,1,88,0,0,0,0,0,0,0
16.0,1,88,0,0,0,0,0,0,0
25.0,0,88,0,0,1,0,0,0,0
40.0,0,88,0,0,0,0,0,0,0
10.0,0,88,0,0,0,0,0,1,0
23.0,1,87,0,0,0,0,0,0,0
19.0,0,87,0,0,0,0,0,0,0
23.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,0,0,0,1,0
20.0,1,87,0,0,0,0,0,0,0
16.0,0,87,0,0,0,0,0,1,0
30.0,0,87,0,0,1,0,0,0,0
19.0,0,87,0,0,1,0,1,0,0
48.0,0,87,0,0,1,0,0,0,1
24.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
25.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
45.0,0,87,0,0,1,0,0,0,1
40.0,0,87,0,0,1,0,0,0,0
28.0,0,87,0,0,1,0,1,0,0
12.0,0,87,0,0,1,0,1,0,0
12.0,0,87,0,0,1,0,1,0,0
38.0,0,87,0,0,0,0,0,0,0
33.0,0,87,0,0,0,0,0,0,0
72.0,0,87,0,0,1,0,0,0,0
22.0,0,87,0,0,1,0,0,0,0
32.0,0,87,0,0,1,0,0,0,0
55.0,0,87,0,0,1,0,0,0,1
18.0,0,87,0,0,0,0,0,0,0
17.0,0,87,0,0,1,0,1,0,0
12.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,0,1,0,0
22.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,0,0,0,0
19.0,0,87,0,0,0,0,0,1,0
28.0,0,87,0,0,1,0,0,0,1
106.0,0,87,0,0,1,0,0,0,0
45.0,0,87,0,0,0,0,0,0,0
30.0,0,87,0,0,0,0,0,0,0
12.0,0,87,0,0,0,0,0,0,0
24.0,0,87,0,0,0,0,0,0,0
12.0,0,87,0,0,0,0,0,0,0
11.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
19.0,0,87,0,0,1,0,0,0,0
22.0,0,87,0,0,0,0,0,0,0
15.0,0,87,0,0,0,0,0,1,0
14.0,0,87,0,0,0,0,0,1,0
20.0,0,87,0,0,1,0,0,0,0
12.0,0,87,0,0,1,0,0,0,0
25.0,0,87,0,0,1,0,0,0,1
11.0,0,87,0,0,0,0,0,1,0
30.0,0,87,0,0,1,0,0,0,0
40.0,0,87,0,0,1,0,0,0,0
49.0,0,87,0,0,0,0,0,0,0
